years,records
1959,1
1960,0
1961,1
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,1
1969,1
1970,0
1971,0
1972,0
1973,0
1974,1
1975,0
1976,0
1977,1
1978,0
1979,0
1980,0
1981,1
1982,0
1983,2
1984,1
1985,7
1986,12
1987,17
1988,66
1989,163
1990,72
1991,249
1992,150
1993,188
1994,182
1995,218
1996,134
1997,207
1998,242
1999,182
2000,401
2001,447
2002,444
2003,426
2004,522
2005,1288
2006,1069
2007,1306
2008,1566
2009,2052
2010,2027
2011,1996
2012,2350
2013,2136
2014,1854
2015,2261
2016,1536
2017,1466
2018,946
