years,records
1953,1
1954,0
1955,0
1956,0
1957,0
1958,0
1959,1
1960,0
1961,5
1962,7
1963,6
1964,4
1965,4
1966,6
1967,11
1968,5
1969,4
1970,5
1971,2
1972,3
1973,6
1974,1
1975,1
1976,6
1977,1
1978,2
1979,2
1980,2
1981,2
1982,0
1983,0
1984,0
1985,4
1986,2
1987,4
1988,7
1989,13
1990,14
1991,18
1992,19
1993,34
1994,40
1995,34
1996,37
1997,45
1998,36
1999,31
2000,36
2001,46
2002,54
2003,49
2004,98
2005,132
2006,150
2007,156
2008,189
2009,216
2010,246
2011,222
2012,246
2013,318
2014,381
2015,513
2016,626
2017,781
2018,805
