years,engine,count
2010,wos_art,1186641
2010,wos_conf,49975
2010,ieee_art,36936
2010,ieee_conf,219692
2010,acm_art,57422
2010,acm_conf,91322
2011,wos_art,1262629
2011,wos_conf,37324
2011,ieee_art,39922
2011,ieee_conf,209425
2011,acm_art,56329
2011,acm_conf,83948
2012,wos_art,1322862
2012,wos_conf,27633
2012,ieee_art,42104
2012,ieee_conf,188042
2012,acm_art,55872
2012,acm_conf,80413
2013,wos_art,1396999
2013,wos_conf,25583
2013,ieee_art,44864
2013,ieee_conf,179732
2013,acm_art,53039
2013,acm_conf,61839
2014,wos_art,1436384
2014,wos_conf,21879
2014,ieee_art,46983
2014,ieee_conf,186662
2014,acm_art,53174
2014,acm_conf,54270
2015,wos_art,1673986
2015,wos_conf,31740
2015,ieee_art,50212
2015,ieee_conf,195474
2015,acm_art,58006
2015,acm_conf,58235
2016,wos_art,1743515
2016,wos_conf,35747
2016,ieee_art,53082
2016,ieee_conf,203381
2016,acm_art,63321
2016,acm_conf,35803
2017,wos_art,1796767
2017,wos_conf,33951
2017,ieee_art,58098
2017,ieee_conf,202134
2017,acm_art,55052
2017,acm_conf,28942
2018,wos_art,1082773
2018,wos_conf,20702
2018,ieee_art,42094
2018,ieee_conf,47429
2018,acm_art,21483
2018,acm_conf,15720
