years,records,search_engine,publication,technology
1988,1,ACM,A,SR
1989,0,ACM,A,SR
1990,0,ACM,A,SR
1991,0,ACM,A,SR
1992,0,ACM,A,SR
1993,0,ACM,A,SR
1994,0,ACM,A,SR
1995,1,ACM,A,SR
1996,1,ACM,A,SR
1997,2,ACM,A,SR
1998,2,ACM,A,SR
1999,5,ACM,A,SR
2000,8,ACM,A,SR
2001,6,ACM,A,SR
2002,11,ACM,A,SR
2003,10,ACM,A,SR
2004,16,ACM,A,SR
2005,16,ACM,A,SR
2006,25,ACM,A,SR
2007,38,ACM,A,SR
2008,64,ACM,A,SR
2009,50,ACM,A,SR
2010,55,ACM,A,SR
2011,54,ACM,A,SR
2012,58,ACM,A,SR
2013,58,ACM,A,SR
2014,49,ACM,A,SR
2015,71,ACM,A,SR
2016,70,ACM,A,SR
2017,76,ACM,A,SR
2018,16,ACM,A,SR
1990,1,ACM,KB,SR
1991,0,ACM,KB,SR
1992,0,ACM,KB,SR
1993,0,ACM,KB,SR
1994,1,ACM,KB,SR
1995,1,ACM,KB,SR
1996,0,ACM,KB,SR
1997,1,ACM,KB,SR
1998,2,ACM,KB,SR
1999,2,ACM,KB,SR
2000,6,ACM,KB,SR
2001,5,ACM,KB,SR
2002,16,ACM,KB,SR
2003,5,ACM,KB,SR
2004,18,ACM,KB,SR
2005,31,ACM,KB,SR
2006,39,ACM,KB,SR
2007,43,ACM,KB,SR
2008,64,ACM,KB,SR
2009,198,ACM,KB,SR
2010,85,ACM,KB,SR
2011,75,ACM,KB,SR
2012,94,ACM,KB,SR
2013,99,ACM,KB,SR
2014,70,ACM,KB,SR
2015,72,ACM,KB,SR
2016,65,ACM,KB,SR
2017,40,ACM,KB,SR
2018,38,ACM,KB,SR
2014,2,ACM,A,SDS
2015,1,ACM,A,SDS
2016,2,ACM,A,SDS
2014,2,ACM,KB,SDS
2015,1,ACM,KB,SDS
2016,0,ACM,KB,SDS
2017,1,ACM,KB,SDS
2018,1,ACM,KB,SDS
1985,1,ACM,A,AV
1986,0,ACM,A,AV
1987,1,ACM,A,AV
1988,2,ACM,A,AV
1989,0,ACM,A,AV
1990,2,ACM,A,AV
1991,2,ACM,A,AV
1992,0,ACM,A,AV
1993,3,ACM,A,AV
1994,1,ACM,A,AV
1995,9,ACM,A,AV
1996,6,ACM,A,AV
1997,4,ACM,A,AV
1998,13,ACM,A,AV
1999,6,ACM,A,AV
2000,8,ACM,A,AV
2001,5,ACM,A,AV
2002,11,ACM,A,AV
2003,10,ACM,A,AV
2004,12,ACM,A,AV
2005,16,ACM,A,AV
2006,21,ACM,A,AV
2007,21,ACM,A,AV
2008,27,ACM,A,AV
2009,29,ACM,A,AV
2010,30,ACM,A,AV
2011,32,ACM,A,AV
2012,31,ACM,A,AV
2013,22,ACM,A,AV
2014,20,ACM,A,AV
2015,30,ACM,A,AV
2016,53,ACM,A,AV
2017,62,ACM,A,AV
2018,23,ACM,A,AV
1977,1,ACM,KB,AV
1978,0,ACM,KB,AV
1979,1,ACM,KB,AV
1980,0,ACM,KB,AV
1981,0,ACM,KB,AV
1982,0,ACM,KB,AV
1983,0,ACM,KB,AV
1984,0,ACM,KB,AV
1985,1,ACM,KB,AV
1986,2,ACM,KB,AV
1987,2,ACM,KB,AV
1988,2,ACM,KB,AV
1989,0,ACM,KB,AV
1990,0,ACM,KB,AV
1991,1,ACM,KB,AV
1992,3,ACM,KB,AV
1993,1,ACM,KB,AV
1994,2,ACM,KB,AV
1995,8,ACM,KB,AV
1996,1,ACM,KB,AV
1997,9,ACM,KB,AV
1998,5,ACM,KB,AV
1999,5,ACM,KB,AV
2000,7,ACM,KB,AV
2001,6,ACM,KB,AV
2002,7,ACM,KB,AV
2003,4,ACM,KB,AV
2004,5,ACM,KB,AV
2005,15,ACM,KB,AV
2006,19,ACM,KB,AV
2007,30,ACM,KB,AV
2008,30,ACM,KB,AV
2009,58,ACM,KB,AV
2010,31,ACM,KB,AV
2011,28,ACM,KB,AV
2012,45,ACM,KB,AV
2013,19,ACM,KB,AV
2014,40,ACM,KB,AV
2015,59,ACM,KB,AV
2016,54,ACM,KB,AV
2017,101,ACM,KB,AV
2018,49,ACM,KB,AV
2002,1,ACM,KB,NE
2003,1,ACM,KB,NE
2004,1,ACM,KB,NE
2005,0,ACM,KB,NE
2006,3,ACM,KB,NE
2007,6,ACM,KB,NE
2008,4,ACM,KB,NE
2009,8,ACM,KB,NE
2010,16,ACM,KB,NE
2011,18,ACM,KB,NE
2012,11,ACM,KB,NE
2013,5,ACM,KB,NE
2014,6,ACM,KB,NE
2015,2,ACM,KB,NE
2016,2,ACM,KB,NE
2017,0,ACM,KB,NE
2018,2,ACM,KB,NE
2002,5,ACM,A,NE
2003,3,ACM,A,NE
2004,3,ACM,A,NE
2005,6,ACM,A,NE
2006,6,ACM,A,NE
2007,9,ACM,A,NE
2008,3,ACM,A,NE
2009,9,ACM,A,NE
2010,10,ACM,A,NE
2011,11,ACM,A,NE
2012,11,ACM,A,NE
2013,14,ACM,A,NE
2014,11,ACM,A,NE
2015,10,ACM,A,NE
2016,14,ACM,A,NE
2017,11,ACM,A,NE
2018,7,ACM,A,NE
2011,2,ACM,KB,MDC
2012,1,ACM,KB,MDC
2013,2,ACM,KB,MDC
2014,0,ACM,KB,MDC
