Publication Years	records	% of 2102
2018	260	12.369
2017	361	17.174
2016	237	11.275
2015	176	8.373
2014	117	5.566
2013	91	4.329
2012	113	5.376
2011	80	3.806
2010	80	3.806
2009	71	3.378
2008	50	2.379
2007	50	2.379
2006	46	2.188
2005	44	2.093
2004	38	1.808
2003	32	1.522
2002	33	1.570
2001	27	1.284
2000	24	1.142
1999	21	0.999
1998	39	1.855
1997	21	0.999
1996	19	0.904
1995	16	0.761
1994	19	0.904
1993	5	0.238
1992	4	0.190
1991	12	0.571
1990	3	0.143
1989	1	0.048
1987	4	0.190
1986	2	0.095
1985	1	0.048
1984	4	0.190
1982	1	0.048
(10 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
