Publication Years	records	% of 15263
2018	297	1.946
2017	463	3.033
2016	493	3.230
2015	414	2.712
2014	336	2.201
2013	338	2.215
2012	399	2.614
2011	386	2.529
2010	324	2.123
2009	400	2.621
2008	362	2.372
2007	335	2.195
2006	349	2.287
2005	332	2.175
2004	363	2.378
2003	349	2.287
2002	360	2.359
2001	372	2.437
2000	424	2.778
1999	474	3.106
1998	493	3.230
1997	572	3.748
1996	699	4.580
1995	754	4.940
1994	838	5.490
1993	709	4.645
1992	901	5.903
1991	763	4.999
1990	471	3.086
1989	390	2.555
1988	337	2.208
1987	277	1.815
1986	197	1.291
1985	177	1.160
1984	76	0.498
1983	26	0.170
1982	9	0.059
1981	3	0.020
1980	1	0.007
(14 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
