Publication Years	records	% of 1754
2018	242	13.797
2017	370	21.095
2016	244	13.911
2015	203	11.574
2014	140	7.982
2013	120	6.842
2012	96	5.473
2011	72	4.105
2010	48	2.737
2009	47	2.680
2008	28	1.596
2007	26	1.482
2006	47	2.680
2005	16	0.912
2004	24	1.368
2003	6	0.342
2002	13	0.741
2001	1	0.057
2000	3	0.171
1999	1	0.057
1998	1	0.057
1997	3	0.171
1995	1	0.057
1994	1	0.057
1993	1	0.057
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
