Publication Years	records	% of 33142
2018	4467	13.478
2017	5580	16.837
2016	4212	12.709
2015	3232	9.752
2014	2353	7.100
2013	1990	6.004
2012	1547	4.668
2011	1366	4.122
2010	1154	3.482
2009	1023	3.087
2008	845	2.550
2007	635	1.916
2006	936	2.824
2005	776	2.341
2004	595	1.795
2003	442	1.334
2002	310	0.935
2001	235	0.709
2000	235	0.709
1999	197	0.594
1998	181	0.546
1997	173	0.522
1996	131	0.395
1995	131	0.395
1994	110	0.332
1993	89	0.269
1992	77	0.232
1991	49	0.148
1990	20	0.060
1989	14	0.042
1988	8	0.024
1987	4	0.012
1986	6	0.018
1985	2	0.006
1984	2	0.006
1976	1	0.003
1975	1	0.003
1974	1	0.003
1973	1	0.003
1970	2	0.006
1969	1	0.003
1968	1	0.003
1967	2	0.006
1966	1	0.003
1964	1	0.003
1963	1	0.003
1962	1	0.003
1959	1	0.003
(23 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
