Publication Years	records	% of 2866
2018	126	4.396
2017	126	4.396
2016	164	5.722
2015	132	4.606
2014	59	2.059
2013	61	2.128
2012	35	1.221
2011	57	1.989
2010	64	2.233
2009	78	2.722
2008	95	3.315
2007	90	3.140
2006	382	13.329
2005	373	13.015
2004	279	9.735
2003	206	7.188
2002	142	4.955
2001	81	2.826
2000	82	2.861
1999	56	1.954
1998	47	1.640
1997	55	1.919
1996	17	0.593
1995	25	0.872
1994	12	0.419
1993	6	0.209
1992	4	0.140
1991	9	0.314
1990	3	0.105
(4 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
