Publication Years	records	% of 2379
2018	170	7.146
2017	291	12.232
2016	282	11.854
2015	252	10.593
2014	171	7.188
2013	210	8.827
2012	160	6.726
2011	138	5.801
2010	94	3.951
2009	105	4.414
2008	106	4.456
2007	74	3.111
2006	68	2.858
2005	38	1.597
2004	71	2.984
2003	40	1.681
2002	31	1.303
2001	25	1.051
2000	16	0.673
1999	15	0.631
1998	9	0.378
1997	3	0.126
1996	2	0.084
1995	2	0.084
1994	1	0.042
1990	1	0.042
1988	2	0.084
1983	1	0.042
1979	1	0.042
(4 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
