Publication Years	records	% of 1515
2018	201	13.267
2017	279	18.416
2016	175	11.551
2015	133	8.779
2014	87	5.743
2013	68	4.488
2012	73	4.818
2011	62	4.092
2010	58	3.828
2009	48	3.168
2008	34	2.244
2007	36	2.376
2006	25	1.650
2005	26	1.716
2004	26	1.716
2003	20	1.320
2002	21	1.386
2001	16	1.056
2000	15	0.990
1999	14	0.924
1998	26	1.716
1997	14	0.924
1996	15	0.990
1995	5	0.330
1994	15	0.990
1993	6	0.396
1992	2	0.132
1991	8	0.528
1990	1	0.066
1989	1	0.066
1987	2	0.132
1984	2	0.132
1982	1	0.066
(8 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
TS=("autonomous vehicles")
