Publication Years	records	% of 142
2018	9	6.338
2017	8	5.634
2016	4	2.817
2015	4	2.817
2014	1	0.704
2013	1	0.704
2012	5	3.521
2011	3	2.113
2010	4	2.817
2009	12	8.451
2008	4	2.817
2007	4	2.817
2006	11	7.746
2005	17	11.972
2004	13	9.155
2003	11	7.746
2002	6	4.225
2001	4	2.817
2000	4	2.817
1999	3	2.113
1998	5	3.521
1997	2	1.408
1996	2	1.408
1995	2	1.408
1994	3	2.113
(0 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
