Publication Years	records	% of 32792
2018	4128	12.588
2017	5575	17.001
2016	4210	12.838
2015	3229	9.847
2014	2353	7.176
2013	1990	6.069
2012	1547	4.718
2011	1366	4.166
2010	1154	3.519
2009	1023	3.120
2008	845	2.577
2007	635	1.936
2006	936	2.854
2005	776	2.366
2004	595	1.814
2003	442	1.348
2002	310	0.945
2001	235	0.717
2000	235	0.717
1999	197	0.601
1998	181	0.552
1997	173	0.528
1996	131	0.399
1995	131	0.399
1994	110	0.335
1993	89	0.271
1992	77	0.235
1991	48	0.146
1990	20	0.061
1989	14	0.043
1988	8	0.024
1987	4	0.012
1986	6	0.018
1985	2	0.006
1984	2	0.006
1976	1	0.003
1975	1	0.003
1974	1	0.003
1973	1	0.003
1970	2	0.006
1969	1	0.003
1968	1	0.003
1967	2	0.006
1966	1	0.003
1964	1	0.003
1963	1	0.003
1962	1	0.003
1959	1	0.003
(23 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
