Publication Years	records	% of 2355
2018	164	6.964
2017	287	12.187
2016	279	11.847
2015	250	10.616
2014	169	7.176
2013	207	8.790
2012	160	6.794
2011	137	5.817
2010	93	3.949
2009	105	4.459
2008	106	4.501
2007	73	3.100
2006	68	2.887
2005	38	1.614
2004	70	2.972
2003	40	1.699
2002	31	1.316
2001	25	1.062
2000	16	0.679
1999	15	0.637
1998	9	0.382
1997	3	0.127
1996	2	0.085
1995	2	0.085
1994	1	0.042
1990	1	0.042
1988	2	0.085
1983	1	0.042
1979	1	0.042
(4 Publication Years {0} {1} value(s) outside display options.)
(0 records (0.000%){0} records{1} do not contain data in the field being analyzed.)
